fdc_id,food_name,carbs_g,protein_g,fat_g,calories
321358,"Hummus, commercial",14.9,7.35,17.1,229.0
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",4.91,3.35,1.9,50.0
321360,"Tomatoes, grape, raw",5.51,0.83,0.63,27.0
321611,"Beans, snap, green, canned, regular pack, drained solids",4.11,1.04,0.39,21.0
321900,"Broccoli, raw",6.29,2.57,0.34,32.0
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",5.19,3.38,0.95,43.0
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.89,3.43,0.08,34.0
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",4.67,3.28,3.2,60.0
323121,"Frankfurter, beef, unheated",2.89,11.7,28.0,314.0
323294,"Nuts, almonds, dry roasted, with salt added",16.2,20.4,57.8,620.0
323444,"Cheese, ricotta, whole milk",6.86,7.81,11.0,157.0
323505,"Kale, raw",4.42,2.92,1.49,35.0
323604,"Egg, whole, raw, frozen, pasteurized",0.91,12.3,10.3,150.0
323697,"Egg, white, raw, frozen, pasteurized",0.74,10.1,0.16,48.0
323793,"Egg, white, dried",6.02,79.9,0.65,376.0
324038,"Sauce, salsa, ready-to-serve",6.74,1.44,0.19,29.0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",3.37,13.3,28.7,328.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",36.3,4.52,14.4,288.0
324653,"Pickles, cucumber, dill or kosher dill",1.99,0.48,0.43,12.0
324860,"Peanut butter, smooth style, with salt",22.3,22.5,51.1,597.0
325036,"Cheese, parmesan, grated",12.4,29.6,28.0,421.0
325198,"Cheese, pasteurized process, American, vitamin D fortified",5.27,18.0,30.6,366.0
325287,"Grapefruit juice, white, canned or bottled, unsweetened",7.59,0.55,0.7,37.0
325430,"Peaches, yellow, raw",10.1,0.91,0.27,42.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",17.1,21.0,56.1,612.0
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",2.15,18.2,26.2,322.0
325871,"Bread, white, commercially prepared",49.2,9.43,3.59,270.0
